ac,series,hzname,top,bottom
7543,FANTZ,Oi,3,4
7542,RED HILL,O1,5,0
7501,GSCHWEND,Oi,0,3
7495,NASHMEAD,0,3,4
7475,DREWING,BCqk,117,152
7475,DREWING,Bqkm,46,117
7468,KAWAIHAPAI,IIIC2,81,137
7468,KAWAIHAPAI,IIC1,56,81
7427,REDTOUGH,Bqm,33,34
7399,ISLANDBAR,C2,157,183
7399,ISLANDBAR,Oi,0,5
7369,TANGLE,02,3,0
7369,TANGLE,01,5,3
7366,DIPSEA,02,23,24
7342,CENPLAT,Oi,0,0
7341,QUINLIVEN,Oi,13,14
7274,REDCAP,2Bwbl,61,81
7274,REDCAP,2Bwb3,112,152
7274,REDCAP,2Bwb2,81,112
7274,REDCAP,AC,8,61
7227,CASPAR,Bt3,76,152
7227,CASPAR,Oi,3,4
7227,CASPAR,E2,15,30
7189,REDSLUFF,Cq,107,203
7124,UDELOPE,Oi,0,5
7084,POWELLTON,Oe,1,4
7084,POWELLTON,Oi,0,1
6998,SUNNYVALE,Ap,0,15
6998,SUNNYVALE,Alc2,15,36
6998,SUNNYVALE,Clca,36,86
6954,CARLSBAD,Cm,99,127
6954,CARLSBAD,Acn2,8,53
6954,CARLSBAD,C2,79,99
6937,ALAMBIQUE,0,8,0
6899,HAO,A2,4,8
6888,KAMAKOA,C,74,84
6831,DUDGEN,2C3,137,305
6831,DUDGEN,2Bqm,38,48
6809,BUNDORA,Oi,3,0
6801,TULLYCREEK,Oi,0,4
6784,CASTRO,Ap,0,18
6784,CASTRO,A12,18,46
6784,CASTRO,C1ca,46,64
6772,GUBE,Oi,1,0
6720,OMSTOTT,Oi,1,0
6681,ZAKME,01,3,4
6575,ZUMAN,2C4,94,152
6543,NAWT,A,0,13
6519,EDMINSTER,Btk1,10,23
6519,EDMINSTER,E,3,10
6489,CHOCKTOOT,Oi,0,5
6469,MAKAALAE,2C3,102,103
6463,HIRSCHDALE,All,0,5
6460,GOODWIN,O1,8,9
6460,GOODWIN,C2r,140,168
6448,BADGERFLAT,Oi,0,3
6420,FERNPOINT,2Ck,122,152
6387,IGO,Cm,18,19
6307,RUSTLERPEAK,O,3,4
6305,TANDY,2Ck3,102,152
6300,TOCK,2C,91,152
6252,BROWNBEAR,Oi,3,0
6238,LONGBELL,Oi,5,0
6225,KUNIA,Ap2,8,56
6206,SWEETBRIAR,Oi,1,2
6204,DEWPOINT,Oi,0,3
6202,THREECHOP,Oi,3,4
6166,SUISUN,Oe2,46,71
6166,SUISUN,Oel,23,46
6166,SUISUN,Oal,,23
6166,SUISUN,Oe3,71,97
6166,SUISUN,Oe4,97,152
6101,KAALUALU,2C2,61,99
6031,STUTZVILLE,C3sa,18,89
6022,MOPANA,2Bqkm,48,152
6012,COASTWISE,Oi,0,0
6006,DOGMOUNTAIN,Bkqm,53,76
5942,PALOMARIN,O1,5,6
5910,TERRACELAKE,Oi,0,3
5869,FEATHERFALLS,Oi,0,3
5867,CHIMNEYROCK,Oi,3,4
5816,TOPDECK,Oi,0,1
5782,LYDON,Oi,0,1
5782,LYDON,Oe,1,3
5762,WANOMIE,2Cqkm,76,79
5688,HUNGRY,0i,0,4
5679,KEMOO,B23t,147,168
5679,KEMOO,B21t,51,86
5668,GAMBOA,Oi,5,6
5662,KAWENGA,Oe,0,5
5661,PADIGAN,Ap,0,15
5661,PADIGAN,Bkss1,30,64
5661,PADIGAN,A,15,30
5605,OLOMPALI,A12,20,33
5604,HOOKENA,A2/2C2,13,31
5604,HOOKENA,A1/2C1,0,13
5604,HOOKENA,2C5,76,152
5604,HOOKENA,2C3/Bw,31,43
5541,CRYSTALHILL,Oi,0,5
5541,CRYSTALHILL,Cdt,168,169
5496,HOSPITER,Oi,0,4
5484,KAI,Bqkm',165,166
5477,MARTINECK,IIC2,61,152
5476,OBSTRUCTION,Oi,0,10
5462,LORACK,01,5,6
5452,REDBELL,2C,157,178
5433,JUMPOFF,O1,3,4
5428,MOUNTMED,Oi,0,15
5423,ALVISO,2Cg,114,152
5420,PAUMALU,B32,122,178
5419,CRONKHITE,B2t,66,94
5396,GRAVEN,2Bqm,58,74
5296,DEPNER,Oi,5,0
5295,ZUMARIDGE,Oe,0,5
5270,FRENCHMAN,Oi,0,5
5261,MADDEN,01,3,0
5245,EUER,01,5,0
5232,BUTTELAKE,Oi,0,0
5231,HAIKU,Ap2,18,36
5192,FONS,O,5,6
5192,FONS,2C4,127,132
5188,HILDRETH,IIIC3,163,168
5171,FIALE,Oi,0,5
5136,ACADEMY,C,76,77
5115,HAYSPUR,2C,150,213
5092,HARTSMILL,Oi,0,3
5082,DECHEL,2BCg2,102,109
5082,DECHEL,BCg1,61,102
5075,CLARKSLODGE,Oi,0,0
5075,CLARKSLODGE,Oe,0,3
5075,CLARKSLODGE,Oa,3,3
5075,HUIKAU,2C1,54,85
5041,SUPPLYCREEK,2C,99,180
5041,SUPPLYCREEK,Oi,0,2
5030,KEAWAKAPU,IIC,46,47
4983,BEAR CREEK,D,76,77
4979,CENTISSIMA,O,5,6
4979,CENTISSIMA,C3r,84,102
4952,DONEGAN,Oi,0,1
4950,BONEPILE,Oi,0,3
4948,NAKANUI,4Bw2,30,41
4948,SHINNPEAK,2Bkq,56,152
4939,PUUEO,2C3,46,76
4919,KAENA,C2,114,137
4899,NIKAL,Oi,3,0
4891,KANUTCHAN,A3,25,51
4891,RUMBO,B23tsa,53,89
4891,RUMBO,B22t,38,53
4891,RUMBO,Al,0,15
4866,SAPWI,Oe,0,3
4864,CELIO,2Bg2,170,203
4853,VOORHIES,0,3,4
4836,SKY,Oi,0,3
4836,SKY,Oa,3,5
4835,EHEUIKI,A2,9,22
4835,EHEUIKI,3Bw1,66,71
4835,EHEUIKI,3A,58,66
4835,EHEUIKI,2Bw2,48,58
4835,EHEUIKI,A1,0,9
4835,EHEUIKI,2Bw1,38,48
4828,DEVILSCREEK,Oi,0,3
4808,SOUTHPAC,Oi,5,6
4796,HALII,Bo5,79,152
4762,OBSKEL,Oi,0,1
4762,OBSKEL,Oe,1,1
4741,DELPIEDRA,C,30,51
