"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"A3",13,20,"10YR",7,1,"",,,"Sawabe",2
"Bt1",20,30,"7.5YR",5,4,"7.5YR",4,4,"Sawabe",2
"Bt2k",38,56,"7.5YR",7,4,"7.5YR",4,4,"Sawabe",2
"Bqkm",38,56,"10YR",6,6,"10YR",7,3,"Sawabe",2
"Ap",0,15,"10YR",2,2,"",,,"Kaupo",2
"B2",15,48,"10YR",3,2,"10YR",5,2,"Kuapo",2
"C1",48,69,"10YR",3,2,"10YR",4,2,"Kuapo",2
"C2",69,0,"",,,"",,,"Kuapo",2
"Ap",0,38,"10YR",3,2,"",,,"Keaau",2
"B21",38,66,"10YR",3,2,"",,,"Keaau",2
"B22",66,86,"7.5YR",3,2,"",,,"Keaau",2
"C1",86,99,"10YR",8,2,"",,,"Keaau",2
"C2",99,145,"10YR",7,3,"",,,"Keaau",2
"A11",0,5,"10YR",5,2,"",,,"Cima",2
"A12",5,18,"10YR",5,2,"",,,"Cima",2
"B2",18,61,"2.5Y",5,4,"",,,"Cima",2
