"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"Btv",135,203,"10YR",6,1,"10YR",5,8,"Jumper",7
"A1",0,10,"5YR",2,2,"",,,"Peckish",7
"A2",10,15,"10YR",4,2,"",,,"Peckish",7
"A3",15,23,"5YR",3,2,"",,,"Peckish",7
"2A1",23,30,"10YR",5,1,"",,,"Peckish",7
"2A2",30,64,"10YR",6,1,"",,,"Peckish",7
"2A3",64,91,"10YR",7,1,"10YR",6,2,"Peckish",7
"2Bh",91,109,"10YR",4,2,"10YR",3,2,"Peckish",7
"A",0,12,"10YR",5,2,"10YR",2,2,"Winz",8
"E",12,35,"10YR",6,2,"10YR",4,2,"Winz",8
"EBt",35,75,"10YR",7,2,"10YR",5,2,"Winz",8
"Bt",75,150,"10YR",7,2,"10YR",5,2,"Winz",8
"Ap",0,15,"10YR",4,3,"10YR",3,2,"Millville",8
"A",15,30,"10YR",5,2,"10YR",3,2,"Millville",8
"AC",30,61,"10YR",6,2,"10YR",4,2,"Millville",8
"C1",61,64,"10YR",6,3,"10YR",4,3,"Millville",8
"C2",64,165,"10YR",7,2,"10YR",5,2,"Millville",8
"A",0,10,"10YR",4,3,"10YR",3,3,"Millpaw",8
"Bt1",10,25,"10YR",4,3,"10YR",3,2,"Millpaw",8
"Bt2",25,89,"10YR",4,3,"10YR",3,2,"Millpaw",8
"Bk",89,152,"7.5YR",5,4,"7.5YR",4,4,"Millpaw",8
"A",0,8,"10YR",4,3,"10YR",3,3,"Brobett",8
"Bt",8,20,"10YR",6,3,"10YR",5,4,"Brobett",8
"Bqk1",20,43,"10YR",7,4,"10YR",5,4,"Brobett",8
"Bqk2",43,76,"10YR",7,3,"10YR",6,4,"Brobett",8
"A",0,15,"7.5YR",6,4,"7.5YR",5,4,"Malstrom",8
"Bw",23,48,"7.5YR",5,4,"7.5YR",4,4,"Malstrom",8
"Bk1",48,64,"7.5YR",6,4,"7.5YR",5,4,"Malstrom",8
"Bk2",64,135,"10YR",8,3,"10YR",7,3,"Malstrom",8
"BCk",135,152,"10YR",8,3,"10YR",7,3,"Malstrom",8
"A",0,15,"10YR",5,3,"10YR",4,3,"Ojinaga",8
"Bk",15,30,"10YR",6,3,"10YR",4,3,"Ojinaga",8
"Bkkm1",30,41,"",,,"",,,"Ojinaga",8
"Bkkm2",41,56,"10YR",8,1,"",,,"Ojinaga",8
"BCk1",56,86,"10YR",7,2,"10YR",4,4,"Ojinaga",8
"BCk2",86,124,"10YR",7,2,"10YR",4,4,"Ojinaga",8
"CBk1",124,145,"10YR",7,2,"10YR",4,4,"Ojinaga",8
"CBk2",145,175,"10YR",7,2,"10YR",5,4,"Ojinaga",8
"C",175,203,"10YR",5,3,"10YR",4,3,"Ojinaga",8
"A1",0,3,"10YR",6,2,"10YR",4,2,"Ungene",8
"A2",3,15,"10YR",6,3,"10YR",5,3,"Ungene",8
"Bk1",15,36,"10YR",6,3,"10YR",5,3,"Ungene",8
"Bk2",36,76,"10YR",7,3,"10YR",5,3,"Ungene",8
"C",76,132,"10YR",7,3,"10YR",5,3,"Ungene",8
"Ck",132,152,"10YR",6,4,"10YR",5,4,"Ungene",8
"A1",0,5,"5YR",4,4,"5YR",3,4,"Selevin",8
"A2",5,13,"5YR",4,4,"5YR",3,4,"Selevin",8
"2Bt1",13,33,"2.5YR",3,4,"2.5YR",3,4,"Selevin",8
"2Bt2",33,48,"2.5YR",4,4,"2.5YR",3,4,"Selevin",8
"2Btk",48,58,"2.5YR",4,4,"2.5YR",3,4,"Selevin",8
"3Bk",58,152,"5YR",8,2,"5YR",7,2,"Selevin",8
"A",0,8,"10YR",7,2,"10YR",5,3,"Luap",8
"Bw",8,20,"10YR",7,2,"10YR",5,3,"Luap",8
"Bk1",20,58,"10YR",8,4,"10YR",6,4,"Luap",8
"Bk2",58,94,"",,,"",,,"Luap",8
"3Bkm",94,112,"10YR",8,2,"2.5Y",7,4,"Luap",8
"4Ck",112,155,"",,,"",,,"Luap",8
"A",0,8,"7.5YR",4,3,"7.5YR",3,2,"Wampoo",8
"Bt1",8,13,"5YR",4,3,"5YR",3,2,"Wampoo",8
"Bt2",13,20,"5YR",4,2,"5YR",3,2,"Wampoo",8
"Bt3",20,41,"2.5YR",4,4,"2.5YR",3,4,"Wampoo",8
"Btk1",41,53,"5YR",5,4,"5YR",4,4,"Wampoo",8
"Bqkm",53,56,"7.5YR",7,4,"5YR",4,4,"Wampoo",8
"Bqk",56,71,"7.5YR",8,2,"7.5YR",5,4,"Wampoo",8
"Oi",0,3,"",,,"",,,"Timmercrek",8
"A1",3,10,"10YR",5,2,"10YR",3,2,"Timmercrek",8
"A2",10,33,"10YR",5,3,"10YR",3,3,"Timmercrek",8
"E1",33,56,"10YR",7,2,"10YR",5,2,"Timmercrek",8
"E2",56,89,"10YR",7,2,"10YR",5,2,"Timmercrek",8
"Bt",89,112,"10YR",7,2,"10YR",5,2,"Timmercrek",8
"C",112,152,"10YR",7,1,"10YR",5,1,"Timmercrek",8
"A1",0,5,"7.5YR",5,4,"7.5YR",4,4,"Ordnance",8
"A2",5,10,"7.5YR",6,2,"7.5YR",4,2,"Ordnance",8
"B1",10,18,"5YR",5,3,"5YR",4,3,"Ordnance",8
"2Bt1",18,28,"2.5YR",4,4,"",,,"Ordnance",8
"2Bt2",28,43,"2.5YR",4,4,"",,,"Ordnance",8
"B3Ca",43,69,"2.5YR",4,4,"2.5YR",4,2,"Ordnance",8
"C2",69,84,"5YR",6,2,"",,,"Ordnance",8
"A1",0,5,"10YR",5,3,"10YR",3,3,"Plegomir",8
"A2",5,13,"10YR",6,3,"10YR",5,3,"Plegomir",8
"Bqk",13,33,"10YR",7,4,"10YR",5,4,"Plegomir",8
"Bqkm",33,33,"",,,"",,,"Plegomir",8
"Ap",0,10,"10YR",4,2,"",,,"Tensas",9
"Btg1",10,28,"2.5Y",5,2,"",,,"Tensas",9
"Btg2",28,48,"2.5Y",5,2,"2.5Y",5,1,"Tensas",9
"2Bg1",48,76,"2.5Y",5,2,"2.5Y",5,1,"Tensas",9
"2Bw",76,84,"10YR",5,3,"10YR",5,2,"Tensas",9
"2Bg2",84,107,"2.5Y",5,2,"",,,"Tensas",9
"2Bw2",107,142,"2.5Y",5,3,"",,,"Tensas",9
"2Bw3",142,178,"2.5Y",5,3,"",,,"Tensas",9
"2Bg3",178,193,"5Y",5,1,"",,,"Tensas",9
"2Bg4",193,218,"5Y",5,2,"",,,"Tensas",9
"2BCg",218,226,"5Y",5,2,"",,,"Tensas",9
"A",0,13,"7.5YR",4,4,"7.5YR",3,4,"Quemado",9
"Bt",13,30,"5YR",4,4,"5YR",3,4,"Quemado",9
"Bkkm1",30,61,"7.5YR",8,2,"",,,"Quemado",9
"Bkkm2",61,203,"7.5YR",8,2,"",,,"Quemado",9
"A",0,20,"10YR",4,2,"10YR",3,2,"Catesby",9
"Bk1",20,41,"10YR",5,2,"10YR",4,2,"Catesby",9
"Bk2",41,74,"10YR",6,3,"10YR",4,3,"Catesby",9
"Bk3",74,107,"7.5YR",6,4,"7.5YR",5,4,"Catesby",9
"Bk4",107,140,"7.5YR",7,4,"7.5YR",6,4,"Catesby",9
"Bk5",140,165,"7.5YR",8,3,"7.5YR",7,4,"Catesby",9
"Bk6",165,201,"7.5YR",8,2,"7.5YR",7,4,"Catesby",9
"Ap",0,10,"7.5YR",4,2,"7.5YR",3,2,"Hillco",9
"A1",10,28,"7.5YR",4,2,"7.5YR",3,2,"Hillco",9
"Bca1",28,41,"5YR",4,4,"5YR",3,4,"Hillco",9
"2Bca2",41,64,"5YR",6,6,"5YR",5,6,"Hillco",9
"2Bca3",64,86,"5YR",6,8,"5YR",5,8,"Hillco",9
"2Bca4",86,97,"7.5YR",6,4,"7.5YR",5,4,"Hillco",9
"R",97,127,"",,,"",,,"Hillco",9
"Ap1",0,15,"10YR",4,3,"",,,"Bruin",9
"Ap2",15,28,"10YR",5,3,"2.5YR",6,3,"Bruin",9
"Bw",28,51,"10YR",5,4,"2.5Y",6,3,"Bruin",9
"C1",51,71,"10YR",5,3,"10YR",5,2,"Bruin",9
"C2",71,91,"10YR",5,3,"2.5Y",4,1,"Bruin",9
"C3",91,104,"10YR",5,4,"10YR",5,2,"Bruin",9
"Ab",104,130,"2.5Y",3,2,"2.5Y",3,1,"Bruin",9
"C4",130,145,"10YR",5,3,"10YR",5,6,"Bruin",9
"Ab2",145,168,"2.5Y",4,2,"10YR",2,1,"Bruin",9
"C5",168,180,"2.5Y",5,3,"10YR",5,6,"Bruin",9
"Cg",180,206,"5Y",5,2,"2.5Y",5,4,"Bruin",9
"A",0,15,"10YR",5,2,"10YR",4,2,"Slapout",9
"Bk1",15,38,"10YR",7,2,"10YR",6,3,"Slapout",9
"Bk2",38,66,"7.5YR",7,2,"7.5YR",6,3,"Slapout",9
"Bk3",66,109,"7.5YR",8,2,"7.5YR",6,4,"Slapout",9
"BCk",109,170,"7.5YR",8,3,"7.5YR",6,4,"Slapout",9
"Ck",170,221,"7.5YR",8,3,"7.5YR",7,4,"Slapout",9
"A",0,25,"10YR",2,1,"",,,"Cranell",9
"Bt1",25,56,"10YR",2,1,"",,,"Cranell",9
"Bt2",56,74,"10YR",3,1,"10YR",2,1,"Cranell",9
"Btk",74,109,"10YR",4,2,"10YR",2,1,"Cranell",9
"Bk1",109,147,"10YR",6,3,"10YR",3,1,"Cranell",9
"Bk2",147,203,"2.5Y",7,3,"",,,"Cranell",9
"A1",0,15,"7.5YR",5,3,"7.5YR",4,3,"Voca",9
"A2",15,28,"7.5YR",5,4,"7.5YR",4,4,"Voca",9
"Bt1",28,43,"5YR",5,6,"5YR",4,6,"Voca",9
"Bt2",43,56,"2.5YR",5,8,"2.5YR",4,8,"Voca",9
"Bt3",56,86,"2.5YR",5,8,"2.5YR",4,8,"Voca",9
"BCt",86,203,"10R",4,6,"10R",3,6,"Voca",9
"A",0,25,"10YR",5,2,"10YR",4,2,"Ratliff",9
"Bw",25,64,"7.5YR",6,4,"7.5YR",4,4,"Ratliff",9
"Bk1",64,114,"7.5YR",8,4,"7.5YR",6,4,"Ratliff",9
"Bk2",114,193,"7.5YR",6,6,"7.5YR",5,6,"Ratliff",9
"Bk3",193,203,"7.5YR",7,2,"7.5YR",6,2,"Ratliff",9
"A1",0,20,"10YR",4,3,"",,,"Vesey",9
"A2",20,61,"10YR",5,4,"",,,"Vesey",9
"2Bt1",61,107,"5YR",4,6,"",,,"Vesey",9
"2Bt2",107,132,"5YR",5,8,"",,,"Vesey",9
"2Bt3",132,150,"7.5YR",6,6,"10YR",6,1,"Vesey",9
"3B",150,173,"10R",4,8,"10YR",6,4,"Vesey",9
"Ap",0,15,"10YR",4,2,"10YR",5,3,"Otanya",9
"E",15,30,"10YR",6,4,"10YR",5,3,"Otanya",9
"EB",30,48,"10YR",6,4,"10YR",6,6,"Otanya",9
"Bt",48,71,"10YR",6,6,"10YR",6,4,"Otanya",9
"Btc1",71,109,"10YR",6,8,"10YR",6,4,"Otanya",9
"Btc2",109,152,"10YR",6,8,"10YR",6,4,"Otanya",9
"2Bt1",152,198,"10YR",6,8,"",,,"Otanya",9
"2Bt2",198,279,"10YR",6,6,"10YR",6,3,"Otanya",9
"2Bt3",279,320,"10YR",6,6,"10YR",6,3,"Otanya",9
"A1",0,20,"10YR",4,2,"10YR",3,2,"Zorra",9
"Ccam",20,30,"10YR",8,2,"",,,"Zorra",9
"Rcca",30,38,"",,,"",,,"Zorra",9
"R",38,51,"",,,"",,,"Zorra",9
"A1",0,20,"10YR",5,2,"10YR",3,2,"Warda",9
"A2",20,38,"10YR",4,2,"10YR",3,2,"Warda",9
"Bt1",38,66,"10YR",4,2,"10YR",3,2,"Warda",9
"Bt2",66,79,"10YR",3,2,"10YR",3,1,"Warda",9
"Bt3",79,97,"10YR",3,2,"10YR",3,1,"Warda",9
"Bt4",97,122,"10YR",4,2,"5YR",3,2,"Warda",9
"Bt5",122,142,"10YR",4,2,"10YR",3,2,"Warda",9
"BC1",142,163,"10YR",4,2,"10YR",3,2,"Warda",9
"BC2",163,203,"10YR",5,3,"10YR",4,2,"Warda",9
"Ap",0,15,"5YR",4,4,"5YR",3,4,"Highbank",9
"A",15,36,"5YR",4,4,"5YR",3,4,"Highbank",9
"Bw1",36,61,"5YR",5,4,"5YR",4,4,"Highbank",9
"Bw2",61,122,"5YR",4,4,"5YR",3,4,"Highbank",9
"Bw3",122,142,"5YR",4,3,"5YR",3,3,"Highbank",9
"BC",142,157,"5YR",4,3,"5YR",3,3,"Highbank",9
"C",157,203,"5YR",5,6,"5YR",4,4,"Highbank",9
"A",0,10,"10YR",4,2,"10YR",6,2,"Texla",9
"E",10,23,"10YR",6,4,"10YR",4,6,"Texla",9
"Bt1",23,56,"10YR",5,6,"",,,"Texla",9
"Bt2",56,84,"10YR",5,2,"7.5YR",5,6,"Texla",9
"Btss",84,119,"10YR",6,1,"",,,"Texla",9
"Btg",119,203,"10YR",7,1,"",,,"Texla",9
"A1",0,20,"10YR",5,2,"10YR",4,3,"Henco",9
"A2",20,38,"10YR",6,3,"",,,"Henco",9
"2Ag",38,112,"2.5Y",7,2,"",,,"Henco",9
"B",112,157,"10YR",7,1,"",,,"Henco",9
"Cg",157,183,"10YR",7,1,"",,,"Henco",9
"A1",0,10,"10YR",4,3,"10YR",3,3,"Winedale",9
"A2",10,18,"10YR",5,3,"10YR",4,2,"Winedale",9
"2Bt",18,36,"5YR",4,6,"2.5YR",3,4,"Winedale",9
"2Btss",36,58,"7.5YR",5,4,"5YR",4,3,"Winedale",9
"2BCtss",58,94,"10YR",6,4,"10YR",5,3,"Winedale",9
"2C1",94,130,"10YR",6,4,"10YR",5,3,"Winedale",9
"2C2",130,157,"10YR",7,3,"10YR",5,4,"Winedale",9
"A",0,30,"10YR",5,2,"10YR",3,2,"Doolin",9
"Btn1",30,51,"7.5YR",4,2,"7.5YR",3,2,"Doolin",9
"Btn2",51,81,"10YR",4,3,"10YR",3,3,"Doolin",9
"2Btn3",81,122,"7.5YR",5,4,"7.5YR",4,4,"Doolin",9
"2Btn4",122,173,"7.5YR",6,8,"7.5YR",5,8,"Doolin",9
"2Cr",173,178,"7.5YR",5,6,"",,,"Doolin",9
"A1",0,20,"10YR",5,2,"10YR",3,2,"Hornsby",9
"E",20,46,"10YR",7,3,"10YR",5,3,"Hornsby",9
"Bt1",46,94,"2.5YR",4,6,"10YR",5,2,"Hornsby",9
"Bt2",94,178,"5YR",6,6,"5YR",5,6,"Hornsby",9
"2C",178,208,"2.5Y",7,2,"2.5Y",6,2,"Hornsby",9
"Oa",0,5,"",,,"",,,"Zandi",10
"E",5,15,"7.5YR",5,2,"10YR",7,1,"Zandi",10
"Bhs",15,18,"7.5YR",3,3,"7.5YR",3,2,"Zandi",10
"Bs",18,30,"7.5YR",4,6,"",,,"Zandi",10
"Bw",30,56,"7.5YR",5,4,"",,,"Zandi",10
"Bt",56,94,"10YR",5,3,"10YR",6,2,"Zandi",10
"C",94,203,"7.5YR",5,4,"7.5YR",4,6,"Zandi",10
"Oa",0,3,"10YR",2,1,"",,,"Neopit",10
"E1",3,10,"10YR",4,2,"10YR",6,3,"Neopit",10
"Bw",10,30,"10YR",4,4,"",,,"Neopit",10
"E2",30,38,"10YR",5,3,"10YR",7,3,"Neopit",10
"B1",38,51,"10YR",5,3,"10YR",7,3,"Neopit",10
"B2",51,66,"7.5YR",4,4,"10YR",7,3,"Neopit",10
"B3",66,91,"7.5YR",4,4,"7.5YR",5,3,"Neopit",10
"B4",91,170,"10YR",4,4,"10YR",5,3,"Neopit",10
"C",170,203,"10YR",4,3,"",,,"Neopit",10
"Oa",0,3,"10YR",2,1,"",,,"Oldman",10
"A",3,10,"5YR",2,1,"5YR",4,1,"Oldman",10
"E",10,13,"5YR",5,2,"",,,"Oldman",10
"Bhs1",13,20,"5YR",2,2,"",,,"Oldman",10
"Bhs2",20,33,"5YR",2,2,"",,,"Oldman",10
"Bs",33,48,"7.5YR",4,6,"",,,"Oldman",10
"B1",48,66,"5YR",4,4,"5YR",4,4,"Oldman",10
"Bx",66,117,"5YR",6,2,"2.5YR",5,4,"Oldman",10
"B2",117,152,"5YR",6,2,"2.5YR",5,4,"Oldman",10
"A",0,16,"10YR",3,2,"19YR",5,2,"Guida",10
"Bw1",16,37,"10YR",4,3,"",,,"Guida",10
"Bw2",37,75,"10YR",5,4,"10YR",5,6,"Guida",10
"Bw2",75,104,"10YR",5,4,"10YR",5,6,"Guida",10
"Bw3",104,144,"10YR",6,3,"10YR",4,4,"Guida",10
"C",144,203,"10YR",6,3,"7.5YR",5,6,"Guida",10
"A",0,8,"10YR",2,1,"10YR",3,1,"Grettum",10
"Bw1",8,36,"7.5YR",4,4,"",,,"Grettum",10
"Bw2",36,81,"10YR",5,4,"",,,"Grettum",10
"Bt1",81,109,"7.5YR",5,4,"7.5YR",6,4,"Grettum",10
"Bt2",109,191,"7.5YR",5,4,"7.5YR",6,4,"Grettum",10
"C",191,343,"7.5YR",5,4,"7.5YR",5,8,"Grettum",10
"A",0,5,"5YR",2,1,"5YR",4,1,"Graveraet",10
"Bhs",5,20,"5YR",3,2,"",,,"Graveraet",10
"Bs1",20,41,"5YR",3,4,"",,,"Graveraet",10
"Bs2",41,52,"5YR",4,4,"",,,"Graveraet",10
"E",52,81,"5YR",6,4,"5YR",5,6,"Graveraet",10
"Bx",81,99,"2.5YR",4,4,"5YR",4,4,"Graveraet",10
"C",99,152,"5YR",4,3,"",,,"Graveraet",10
"Oe",0,3,"",,,"",,,"Dillingham",10
"E",3,20,"7.5YR",5,3,"7.5YR",7,2,"Dillingham",10
"Bhs",20,28,"7.5YR",3,3,"",,,"Dillingham",10
"Bs",28,53,"7.5YR",3,4,"",,,"Dillingham",10
"Bx",53,79,"5YR",6,3,"7.5YR",6,2,"Dillingham",10
"C",79,203,"5YR",5,4,"5YR",6,2,"Dillingham",10
"Ap",0,18,"10YR",3,2,"10YR",6,2,"Eagleview",10
"E",18,41,"10YR",5,3,"10YR",6,2,"Eagleview",10
"Bw",41,58,"10YR",5,4,"",,,"Eagleview",10
"Bt1",58,84,"10YR",4,6,"10YR",4,4,"Eagleview",10
"Bt2",84,94,"10YR",5,4,"10YR",4,4,"Eagleview",10
"C",94,203,"10YR",6,3,"",,,"Eagleview",10
"Ap",0,20,"10YR",3,2,"",,,"Dryburg",10
"A2",20,23,"10YR",5,2,"",,,"Dryburg",10
"2Bir",23,46,"5YR",3,4,"",,,"Dryburg",10
"2B",46,61,"2.5YR",4,4,"5YR",6,3,"Dryburg",10
"2C",61,152,"2.5YR",4,4,"5YR",8,1,"Dryburg",10
"Ap",0,23,"10YR",3,2,"10YR",5,2,"Drammen",10
"Bw1",23,38,"10YR",4,4,"",,,"Drammen",10
"Bw2",38,53,"10YR",5,4,"",,,"Drammen",10
"Bw3",53,112,"10YR",6,4,"",,,"Drammen",10
"E",112,165,"10YR",5,4,"7.5YR",4,4,"Drammen",10
"C",165,183,"10YR",5,6,"",,,"Drammen",10
"Ap",0,23,"10YR",3,2,"10YR",5,2,"Windward",10
"Bw1",23,43,"10YR",4,3,"",,,"Windward",10
"Bw2",43,76,"10YR",4,4,"",,,"Windward",10
"Bt",76,117,"10YR",5,6,"7.5YR",4,6,"Windward",10
"C",117,203,"10YR",4,6,"",,,"Windward",10
"A",0,3,"5YR",2.5,1,"",,,"Schweitzer",10
"E",3,13,"5YR",5,2,"5YR",6,2,"Schweitzer",10
"Bhs",13,20,"5YR",3,3,"",,,"Schweitzer",10
"Bs1",20,38,"5YR",3,4,"",,,"Schweitzer",10
"Bs2",38,53,"7.5YR",4,4,"",,,"Schweitzer",10
"2Bx1",53,69,"5YR",4,3,"5YR",6,3,"Schweitzer",10
"2Bx2",69,109,"2.5YR",4,4,"2.5YR",4,4,"Schweitzer",10
"2B3",109,155,"2.5YR",4,4,"2.5YR",4,4,"Schweitzer",10
"2C",155,203,"2.5YR",4,4,"",,,"Schweitzer",10
"Ap",0,64,"10YR",2,1,"10YR",3,1,"Coriff",10
"A",25,46,"10YR",3,1,"10YR",4,1,"Coriff",10
"Bg1",46,61,"2.5Y",5,2,"2.5Y",5,4,"Coriff",10
"Bg2",61,84,"2.5Y",6,2,"10YR",5,4,"Coriff",10
"2Cg",84,152,"2.5Y",5,2,"10YR",5,4,"Coriff",10
"Oe",0,5,"5YR",2,1,"",,,"Stueben",10
"E",5,20,"5YR",5,2,"",,,"Stueben",10
"Bh",20,28,"5YR",2,2,"",,,"Stueben",10
"Bhs",28,41,"5YR",3,3,"",,,"Stueben",10
"Bs",41,53,"7.5YR",4,4,"",,,"Stueben",10
"B",53,102,"2.5YR",4,4,"5YR",6,2,"Stueben",10
"2E",102,114,"7.5YR",6,4,"7.5YR",8,4,"Stueben",10
"2C2",114,203,"7.5YR",5,4,"",,,"Stueben",10
"Ap",0,15,"2.5Y",5,2,"2.5Y",4,2,"Cargill",10
"B2",15,33,"10YR",6,3,"10YR",4,3,"Cargill",10
"B3ca",33,43,"10YR",6,3,"10YR",4,3,"Cargill",10
"Cca",43,64,"2.5Y",7,2,"2.5Y",5,4,"Cargill",10
"2Cca",64,76,"2.5Y",7,4,"2.5Y",5,4,"Cargill",10
"2Cr3",76,127,"2.5Y",6,2,"2.5Y",4,2,"Cargill",10
"Oa",0,3,"5YR",2.5,1,"",,,"Tula",10
"A",3,13,"5YR",4,2,"10YR",6,2,"Tula",10
"E",13,20,"5YR",7,1,"5YR",8,1,"Tula",10
"Bs1",20,51,"5YR",4,4,"5YR",5,8,"Tula",10
"Bs2",51,71,"5YR",4,4,"5YR",5,8,"Tula",10
"2E",71,94,"5YR",6,3,"5YR",7,2,"Tula",10
"2Ex",94,157,"2.5YR",3,4,"5YR",5,4,"Tula",10
"2C",157,203,"2.5YR",4,4,"",,,"Tula",10
"Oe",0,8,"",,,"",,,"Manido",10
"E",8,23,"7.5YR",6,2,"",,,"Manido",10
"Bhs",23,28,"2.5YR",2.5,1,"",,,"Manido",10
"Bs",28,43,"5YR",3,4,"",,,"Manido",10
"Bw",43,94,"7.5YR",5,6,"",,,"Manido",10
"Bt",94,152,"7.5YR",6,2,"7.5YR",4,4,"Manido",10
"C",152,203,"7.5YR",5,4,"7.5YR",4,6,"Manido",10
"Oe",0,3,"7.5YR",3,2,"",,,"Bodi",10
"E",3,10,"7.5YR",5,2,"7.5YR",6,1,"Bodi",10
"Bhs",10,13,"7.5YR",3,2,"",,,"Bodi",10
"Bs1",13,30,"7.5YR",4,4,"",,,"Bodi",10
"Bs2",30,43,"7.5YR",4,6,"",,,"Bodi",10
"2Bs",43,61,"7.5YR",4,6,"7.5YR",5,6,"Bodi",10
"3E",61,76,"7.5YR",5,3,"7.5YR",6,2,"Bodi",10
"3Bx",76,112,"5YR",5,4,"5YR",5,3,"Bodi",10
"3Cd",112,203,"5YR",5,4,"",,,"Bodi",10
"Oa",0,2,"10YR",3,2,"10YR",2,1,"Mccooley",10
"A1",2,10,"7.5YR",3,2,"7.5YR",5,2,"Mccooley",10
"A2",10,31,"7.5YR",3,2,"7.5YR",5,3,"Mccooley",10
"E1",31,65,"7.5YR",5,4,"7.5YR",5,3,"Mccooley",10
"E2",65,97,"5YR",5,6,"5YR",7,4,"Mccooley",10
"Bt1",97,154,"5YR",6,6,"5YR",7,4,"Mccooley",10
"Bt2",154,190,"5YR",6,6,"5YR",7,4,"Mccooley",10
"Cr",190,200,"7.5Yr",6,4,"",,,"Mccooley",10
"Oa",0,3,"5YR",2.5,1,"",,,"Lac La Belle",10
"E",3,13,"5YR",5,2,"5YR",6,2,"Lac La Belle",10
"Bhs",13,30,"5YR",3,3,"",,,"Lac La Belle",10
"Bs1",30,48,"5YR",3,4,"",,,"Lac La Belle",10
"Bs2",48,91,"7.5YR",4,4,"",,,"Lac La Belle",10
"2B",91,107,"7.5YR",4,3,"7.5YR",5,2,"Lac La Belle",10
"2Btx",107,127,"5YR",4,4,"7.5YR",4,6,"Lac La Belle",10
"2Bx",127,157,"5YR",4,4,"7.5YR",4,3,"Lac La Belle",10
"2C",157,203,"5YR",4,4,"",,,"Lac La Belle",10
"A",0,8,"10YR",2,1,"10YR",4,1,"Melrude",10
"E",8,15,"10YR",4,2,"10YR",6,2,"Melrude",10
"Bw1",15,51,"10YR",4,3,"10YR",5,6,"Melrude",10
"Bw2",51,76,"10YR",4,4,"7.5YR",5,6,"Melrude",10
"Bw3",76,97,"10YR",5,3,"10YR",5,2,"Melrude",10
"Bw4",97,117,"10YR",5,3,"10YR",5,6,"Melrude",10
"Bw5",117,157,"7.5YR",5,4,"",,,"Melrude",10
"2BC",157,185,"7.5YR",5,3,"7.5YR",5,6,"Melrude",10
"2C",185,203,"10YR",5,3,"10YR",6,2,"Melrude",10
"A",0,5,"10YR",3,1,"10YR",5,2,"Biwabik",10
"Bw",5,23,"10YR",5,6,"",,,"Biwabik",10
"E",23,81,"10YR",5,4,"",,,"Biwabik",10
"Bt",81,163,"10YR",5,4,"",,,"Biwabik",10
"C",163,203,"10YR",5,6,"",,,"Biwabik",10
"Oa",0,5,"10YR",2,1,"",,,"Velvet",10
"E",5,8,"10YR",5,2,"",,,"Velvet",10
"Bs1",8,33,"7.5YR",3,4,"",,,"Velvet",10
"Bs2",33,41,"7.5YR",5,6,"",,,"Velvet",10
"2Be",41,104,"10YR",5,2,"2.5YR",4,4,"Velvet",10
"2C",104,152,"10YR",5,3,"",,,"Velvet",10
"Oa",0,5,"7.5YR",2.5,1,"",,,"Montreal",10
"E",5,15,"7.5YR",5,2,"7.5YR",7,2,"Montreal",10
"Bhs",15,28,"7.5YR",3,3,"",,,"Montreal",10
"Bs",28,51,"7.5YR",3,4,"7.5YR",4,4,"Montreal",10
"E",51,84,"7.5YR",5,3,"5YR",4,4,"Montreal",10
"Bx1",84,130,"5YR",4,4,"5YR",5,3,"Montreal",10
"B2",130,203,"7.5YR",6,3,"5YR",7,2,"Montreal",10
"Oe",0,5,"",,,"",,,"Hillcity",10
"E",5,15,"10YR",5,2,"10YR",6,2,"Hillcity",10
"Bw",15,43,"10YR",4,3,"",,,"Hillcity",10
"E",43,51,"10YR",6,2,"10YR",7,2,"Hillcity",10
"B1",51,61,"10YR",4,4,"10YR",6,3,"Hillcity",10
"Bt1",61,81,"10YR",4,4,"10YR",4,3,"Hillcity",10
"Bt2",81,109,"10YR",6,3,"10YR",5,4,"Hillcity",10
"2C",109,203,"2.5Y",5,3,"7.5YR",5,8,"Hillcity",10
"Ap",0,20,"10YR",4,3,"10YR",5,2,"Princeton",11
"Bt1",20,28,"7.5YR",5,6,"10YR",7,3,"Princeton",11
"Bt2",28,66,"7.5YR",5,6,"10YR",4,4,"Princeton",11
"Bt3",66,104,"5YR",5,6,"5YR",4,4,"Princeton",11
"E",104,152,"7.5YR",4,4,"7.5YR",5,6,"Princeton",11
"CB",152,203,"7.5YR",5,6,"7.5YR",4,4,"Princeton",11
"Ap1",0,25,"10YR",2,1,"10YR",4,1,"Bryce",11
"Ap2",25,33,"10YR",2,1,"10YR",4,1,"Bryce",11
"Bg",33,48,"10YR",2,1,"10YR",4,1,"Bryce",11
"Btg1",48,61,"2.5Y",4,2,"10YR",4,1,"Bryce",11
"Btg2",61,89,"5YR",5,2,"5YR",4,2,"Bryce",11
"Btg3",89,114,"5YR",5,1,"5YR",4,1,"Bryce",11
"2BCg",114,147,"5YR",5,1,"10YR",8,1,"Bryce",11
"2Cg",147,168,"5YR",5,1,"2.5Y",4,4,"Bryce",11
"Ap",0,25,"10YR",4,2,"10YR",6,2,"Spinks",11
"Bw",25,56,"10YR",5,4,"",,,"Spinks",11
